date,currency,cot_index,cot_index_4w_change,net_pct_change_1w,momentum_acceleration,oi_delta_direction,oi_net_confluence,flip_flag,extreme_flag,usd_index_cot,rank_in_8,spread_vs_usd,weeks_since_flip,lev_funds_net_index,asset_mgr_net_direction,dealer_net_contrarian,lev_vs_assetmgr_divergence,rate_diff_vs_usd,rate_diff_trend_3m,rate_hike_expectation,cpi_diff_vs_usd,cpi_trend,pmi_composite_diff,yield_10y_diff,vix_regime,gold_cot_index,oil_cot_direction,month,quarter,label
2006-01-27,AUD,50.0,0.0,-14.67700030824783,-18.97045224360386,1,3,0,0,50.0,1.0,0.0,165.0,50.0,0,50.0,0.0,1.3399999999999999,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,1,BEAR
2006-01-27,CAD,50.0,0.0,0.7425834478149482,-12.683325288679315,1,1,0,0,50.0,1.0,0.0,130.0,50.0,0,50.0,0.0,-0.54,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,1,NEUTRAL
2006-01-27,CHF,50.0,0.0,198.83561643835617,82.3972602739726,1,1,0,0,50.0,1.0,0.0,1.0,50.0,0,50.0,0.0,-3.365510523809524,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,1,NEUTRAL
2006-01-27,EUR,50.0,0.0,76.6253359106124,80.16123709396068,1,1,0,0,50.0,1.0,0.0,156.0,50.0,0,50.0,0.0,0.0,0.0,0,0.0,0,0.0,-1.1986363636363597,0,0.0,0.0,1,1,NEUTRAL
2006-01-27,GBP,50.0,0.0,186.2246442627914,141.71964880411747,1,1,1,0,50.0,1.0,0.0,0.0,50.0,0,50.0,0.0,0.31367999999999974,0.0,0,0.0,0,0.0,-0.44479999999999986,0,0.0,0.0,1,1,NEUTRAL
2006-01-27,JPY,50.0,0.0,-5.580809463826059,-12.536283476641657,-1,4,0,0,50.0,1.0,0.0,178.0,50.0,0,50.0,0.0,-4.19,0.0,0,0.0,0,0.0,-2.973,0,0.0,0.0,1,1,BEAR
2006-01-27,NZD,50.0,0.0,-20.261031696706027,-42.69732753262897,1,3,0,0,50.0,1.0,0.0,107.0,50.0,0,50.0,0.0,3.3499999999999996,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,1,NEUTRAL
2006-02-03,AUD,50.0,0.0,51.001238645747314,68.20293146160198,1,1,0,0,50.0,1.0,0.0,165.0,50.0,0,50.0,0.0,1.12,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
2006-02-03,CAD,50.0,0.0,38.14911731102348,37.412007518519886,1,1,0,0,50.0,1.0,0.0,130.0,50.0,0,50.0,0.0,-0.7400000000000002,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
2006-02-03,CHF,50.0,0.0,-77.4696309878524,-144.00641760256704,-1,4,0,0,50.0,1.0,0.0,2.0,50.0,0,50.0,0.0,-3.4932395,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,BEAR
2006-02-03,EUR,50.0,0.0,-2.8881059150117445,-46.271086910100365,1,3,0,0,50.0,1.0,0.0,156.0,50.0,0,50.0,0.0,0.0,0.0,0,0.0,0,0.0,-1.0675,0,0.0,0.0,2,1,BEAR
